年,区名,当落,得票数,氏名,よみ,年齢,性別,党派,新旧,主な肩書き,投票日,告知日,定数,候補者数,有権者数,投票率%,投票者数,得票率%
2011,目黒,当,3986.000 ,須藤　甚一郎,すどう　じんいちろう,72,男,無所属,現,ジャーナリスト,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",4.800 
2011,目黒,当,2944.000 ,伊賀　保夫,いが　やすお,33,男,みんな,新,会社役員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",3.545 
2011,目黒,当,2230.000 ,広吉　敦子,ひろよし　あつこ,46,女,目黒・生活者ネットワーク,新,ヨガインストラクター,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",2.685 
2011,目黒,当,2214.528 ,佐藤　昇,さとう　のぼる,46,男,自民,現,酒販店経営,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",2.667 
2011,目黒,当,2205.000 ,小野瀬　康裕,おのせ　やすひろ,39,男,自民,現,区議会議員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",2.655 
2011,目黒,当,2180.000 ,松田　哲也,まつだ　てつや,46,男,みんな,現,区議会議員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",2.625 
2011,目黒,当,2155.000 ,秋元　馨,あきもと　かおる,36,男,みんな,新,会社経営,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",2.595 
2011,目黒,当,2121.000 ,栗山　芳士,くりやま　よしじ,41,男,自民,現,区議会議員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",2.554 
2011,目黒,当,2084.000 ,森　美彦,もり　よしひこ,59,男,共産,現,区議会議員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",2.510 
2011,目黒,当,2061.000 ,鴨志田　リエ,かもしだ　りえ,52,女,民主,現,会社役員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",2.482 
2011,目黒,当,1978.000 ,清水　昌樹,しみず　まさき,50,男,自民,新,会社員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",2.382 
2011,目黒,当,1945.000 ,石川　恭子,いしかわ　きょうこ,56,女,共産,現,区議会議員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",2.342 
2011,目黒,当,1934.000 ,青木　早苗,あおき　さなえ,63,女,民主,現,区議会議員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",2.329 
2011,目黒,当,1888.000 ,関　賢一,せき　けんいち,46,男,公明,現,区議会議員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",2.274 
2011,目黒,当,1857.000 ,川原　伸昭,かわはら　のぶあき,39,男,公明,新,会社員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",2.236 
2011,目黒,当,1845.000 ,梅原　辰郎,うめはら　たつろう,63,男,無所属,現,区議会議員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",2.222 
2011,目黒,当,1779.000 ,橋本　欣一,はしもと　きんいち,45,男,自民,現,区議会議員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",2.142 
2011,目黒,当,1766.000 ,飯島　和代,いいじま　かずよ,55,女,公明,新,政党役員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",2.127 
2011,目黒,当,1761.000 ,山宮　清孝,やまみや　きよたか,40,男,公明,新,政党役員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",2.121 
2011,目黒,当,1760.214 ,佐藤　豊,さとう　ゆたか,48,男,公明,新,政党役員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",2.120 
2011,目黒,当,1705.000 ,星見　定子,ほしみ　ていこ,53,女,共産,現,区議会議員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",2.053 
2011,目黒,当,1667.000 ,磯野　弘三,いその　こうぞう,44,男,自民,現,区議会議員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",2.007 
2011,目黒,当,1642.000 ,今井　礼子,いまい　れいこ,63,女,自民,現,区議会議員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",1.977 
2011,目黒,当,1637.000 ,武藤　正浩,むとう　まさひろ,50,男,公明,現,区議会議員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",1.971 
2011,目黒,当,1617.000 ,宗田　次郎,そうだ　じろう,50,男,自民,現,区議会議員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",1.947 
2011,目黒,当,1616.000 ,田島　憲二,たじま　けんじ,56,男,自民,現,区議会議員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",1.946 
2011,目黒,当,1608.000 ,二ノ宮　啓吉,にのみや　けいきち,73,男,自民,現,区議会議員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",1.936 
2011,目黒,当,1596.000 ,吉野　正人,よしの　まさと,44,男,民主,新,会社員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",1.922 
2011,目黒,当,1557.000 ,飯田　倫子,いいだ　みちこ,64,女,自民,現,区議会議員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",1.875 
2011,目黒,当,1516.000 ,坂本　史子,さかもと　ふみこ,55,女,無所属,現,区議会議員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",1.826 
2011,目黒,当,1489.906 ,伊藤　喜昭,いとう　よしあき,67,男,自民,現,区議会議員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",1.794 
2011,目黒,当,1473.000 ,赤城　裕,あかぎ　ゆたか,47,男,自民,現,区議会議員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",1.774 
2011,目黒,当,1408.000 ,岩崎　史博,いわさき　ふみひろ,46,男,共産,現,区議会議員,2011/4/24,2011/4/17,35,55,"213,142 ",38.960 ,"83,040.123 ",1.696 
