党派,略称党名,党順序
『教育勅語』明治の会,諸派,99
あたらしい党,諸派,99
ガンバル,諸派,99
たちあがれ日本,諸派,99
たち日,諸派,99
みんな,諸派,99
みんなのための「区民党」,諸派,99
みんなの大田,諸派,99
ユーチューバー推進党,諸派,99
元気,諸派,99
幸福実現党,諸派,99
私達の教育勅語・明治からの道徳を伝える会,諸派,99
次世代,諸派,99
自由,諸派,99
自由を守る会,諸派,99
渋谷オンブスマン,諸派,99
渋谷オンブズマン,諸派,99
大田・生活者ネットワーク,諸派,99
都ファ,諸派,99
都民ファーストの会,諸派,99
闘う改革の会東京,諸派,99
日本創新党,諸派,99
品川・生活者ネットワーク,諸派,99
無所属,無所属,11
目黒・生活者ネットワーク,諸派,99
緑の党,諸派,99
立憲,立憲,2
民主,民主,80
社民,社民,8
自民,自民,1
国民,国民,6
公明,公明,4
共産,共産,5
維新,維新,3
NHKから国民を守る党,NHK,9
れいわ新選組,れいわ,7
参政党,参政,10
