地域コード,地域,年,前年,人口,出生数,人口（前年）,15歳人口,年齢,age
131000,区部,2009,2008,945626,73555,953221,81150,27歳,27
131000,区部,2010,2009,953221,74100,963353,84232,26歳,26
131000,区部,2011,2010,963353,73263,968052,77962,25歳,25
131000,区部,2012,2011,968052,74794,1003554,110296,24歳,24
131000,区部,2013,2012,1003554,78964,1012781,88191,23歳,23
131000,区部,2014,2013,1012781,80815,1026753,94787,22歳,22
131000,区部,2015,2014,1026753,83449,1040844,97540,21歳,21
131000,区部,2016,2015,1040844,83446,1054154,96756,20歳,20
131000,区部,2017,2016,1054154,81730,1065140,92716,19歳,19
131000,区部,2018,2017,1065140,80444,1075690,90994,18歳,18
131000,区部,2019,2018,1075690,76725,1081700,82735,17歳,17
131000,区部,2020,2019,1081700,75986,1082862,77148,16歳,16
131000,区部,2021,2020,1082862,72176,1069920,59234,15歳,15
132000,市部,2009,2008,525894,33728,526071,33905,27歳,27
132000,市部,2010,2009,526071,34005,527551,35485,26歳,26
132000,市部,2011,2010,527551,32593,525555,30597,25歳,25
132000,市部,2012,2011,525555,32245,528709,35399,24歳,24
132000,市部,2013,2012,528709,32646,526446,30383,23歳,23
132000,市部,2014,2013,526446,31957,524085,29596,22歳,22
132000,市部,2015,2014,524085,32575,522279,30769,21歳,21
132000,市部,2016,2015,522279,31746,520907,30374,20歳,20
132000,市部,2017,2016,520907,30552,517930,27575,19歳,19
132000,市部,2018,2017,517930,29925,515951,27946,18歳,18
132000,市部,2019,2018,515951,28438,511876,24363,17歳,17
132000,市部,2020,2019,511876,27235,508548,23907,16歳,16
132000,市部,2021,2020,508548,26095,502222,19769,15歳,15
133000,町村部,2009,2008,10712,573,10655,516,27歳,27
133000,町村部,2010,2009,10655,587,10627,559,26歳,26
133000,町村部,2011,2010,10627,587,10573,533,25歳,25
133000,町村部,2012,2011,10573,587,10574,588,24歳,24
133000,町村部,2013,2012,10574,595,10484,505,23歳,23
133000,町村部,2014,2013,10484,568,10342,426,22歳,22
133000,町村部,2015,2014,10342,549,10254,461,21歳,21
133000,町村部,2016,2015,10254,560,10068,374,20歳,20
133000,町村部,2017,2016,10068,500,9916,348,19歳,19
133000,町村部,2018,2017,9916,493,9707,284,18歳,18
133000,町村部,2019,2018,9707,427,9468,188,17歳,17
133000,町村部,2020,2019,9468,420,9208,160,16歳,16
133000,町村部,2021,2020,9208,385,8955,132,15歳,15
133999,郡部,2009,2008,7352,370,7323,341,27歳,27
133999,郡部,2010,2009,7323,373,7281,331,26歳,26
133999,郡部,2011,2010,7281,386,7221,326,25歳,25
133999,郡部,2012,2011,7221,400,7241,420,24歳,24
133999,郡部,2013,2012,7241,389,7209,357,23歳,23
133999,郡部,2014,2013,7209,383,7133,307,22歳,22
133999,郡部,2015,2014,7133,353,7060,280,21歳,21
133999,郡部,2016,2015,7060,378,6948,266,20歳,20
133999,郡部,2017,2016,6948,333,6835,220,19歳,19
133999,郡部,2018,2017,6835,329,6706,200,18歳,18
133999,郡部,2019,2018,6706,265,6497,56,17歳,17
133999,郡部,2020,2019,6497,257,6357,117,16歳,16
133999,郡部,2021,2020,6357,252,6194,89,15歳,15
134999,大島支庁,2009,2008,1667,94,1660,87,27歳,27
134999,大島支庁,2010,2009,1660,95,1661,96,26歳,26
134999,大島支庁,2011,2010,1661,104,1646,89,25歳,25
134999,大島支庁,2012,2011,1646,91,1623,68,24歳,24
131016,千代田区,2009,2008,5101,387,5326,612,27歳,27
131016,千代田区,2010,2009,5326,380,5495,549,26歳,26
131016,千代田区,2011,2010,5495,378,5642,525,25歳,25
131016,千代田区,2012,2011,5642,469,6045,872,24歳,24
131016,千代田区,2013,2012,6045,466,6360,781,23歳,23
131016,千代田区,2014,2013,6360,619,6947,1206,22歳,22
131016,千代田区,2015,2014,6947,599,7246,898,21歳,21
131016,千代田区,2016,2015,7246,627,7550,931,20歳,20
131016,千代田区,2017,2016,7550,675,7964,1089,19歳,19
131016,千代田区,2018,2017,7964,595,8397,1028,18歳,18
131016,千代田区,2019,2018,8397,650,8882,1135,17歳,17
131016,千代田区,2020,2019,8882,673,9256,1047,16歳,16
131016,千代田区,2021,2020,9256,616,9207,567,15歳,15
131024,中央区,2009,2008,11819,1332,12256,1769,27歳,27
131024,中央区,2010,2009,12256,1447,12963,2154,26歳,26
131024,中央区,2011,2010,12963,1432,13547,2016,25歳,25
131024,中央区,2012,2011,13547,1495,14586,2534,24歳,24
131024,中央区,2013,2012,14586,1694,15392,2500,23歳,23
131024,中央区,2014,2013,15392,1838,16551,2997,22歳,22
131024,中央区,2015,2014,16551,1983,17635,3067,21歳,21
131024,中央区,2016,2015,17635,2032,19136,3533,20歳,20
131024,中央区,2017,2016,19136,2079,20454,3397,19歳,19
131024,中央区,2018,2017,20454,2108,21686,3340,18歳,18
131024,中央区,2019,2018,21686,2088,22912,3314,17歳,17
131024,中央区,2020,2019,22912,2144,23625,2857,16歳,16
131024,中央区,2021,2020,23625,2010,23708,2093,15歳,15
131032,港区,2009,2008,21572,2403,22291,3122,27歳,27
131032,港区,2010,2009,22291,2510,23392,3611,26歳,26
131032,港区,2011,2010,23392,2402,24028,3038,25歳,25
131032,港区,2012,2011,24028,2638,27271,5881,24歳,24
131032,港区,2013,2012,27271,2727,28122,3578,23歳,23
131032,港区,2014,2013,28122,3051,29519,4448,22歳,22
131032,港区,2015,2014,29519,3118,30816,4415,21歳,21
131032,港区,2016,2015,30816,3251,32479,4914,20歳,20
131032,港区,2017,2016,32479,3123,33872,4516,19歳,19
131032,港区,2018,2017,33872,3042,35111,4281,18歳,18
131032,港区,2019,2018,35111,2919,35740,3548,17歳,17
131032,港区,2020,2019,35740,2817,35936,3013,16歳,16
131032,港区,2021,2020,35936,2595,35381,2040,15歳,15
131041,新宿区,2009,2008,23726,2232,23837,2343,27歳,27
131041,新宿区,2010,2009,23837,2192,24243,2598,26歳,26
131041,新宿区,2011,2010,24243,2135,24344,2236,25歳,25
131041,新宿区,2012,2011,24344,2299,27458,5413,24歳,24
131041,新宿区,2013,2012,27458,2469,27707,2718,23歳,23
131041,新宿区,2014,2013,27707,2515,28071,2879,22歳,22
131041,新宿区,2015,2014,28071,2612,28722,3263,21歳,21
131041,新宿区,2016,2015,28722,2790,29279,3347,20歳,20
131041,新宿区,2017,2016,29279,2788,30213,3722,19歳,19
131041,新宿区,2018,2017,30213,2679,30893,3359,18歳,18
131041,新宿区,2019,2018,30893,2516,31163,2786,17歳,17
131041,新宿区,2020,2019,31163,2591,31223,2651,16歳,16
