地域コード,地域,年,人口,age,年齢
131000,区部,2021.0,2054070,65,65歳以上
132000,市部,2021.0,1056447,65,65歳以上
133000,町村部,2021.0,28050,65,65歳以上
133999,郡部,2021.0,19141,65,65歳以上
134999,大島支庁,2021.0,4563,65,65歳以上
131016,千代田区,2021.0,11222,65,65歳以上
131024,中央区,2021.0,25161,65,65歳以上
131032,港区,2021.0,44186,65,65歳以上
131041,新宿区,2021.0,67514,65,65歳以上
131059,文京区,2021.0,43448,65,65歳以上
131067,台東区,2021.0,46015,65,65歳以上
131075,墨田区,2021.0,61034,65,65歳以上
131083,江東区,2021.0,112835,65,65歳以上
131091,品川区,2021.0,82149,65,65歳以上
131105,目黒区,2021.0,55375,65,65歳以上
131113,大田区,2021.0,166329,65,65歳以上
131121,世田谷区,2021.0,185578,65,65歳以上
131130,渋谷区,2021.0,43148,65,65歳以上
131148,中野区,2021.0,67855,65,65歳以上
131156,杉並区,2021.0,120139,65,65歳以上
131164,豊島区,2021.0,57293,65,65歳以上
131172,北区,2021.0,87212,65,65歳以上
131181,荒川区,2021.0,50143,65,65歳以上
131199,板橋区,2021.0,132310,65,65歳以上
131202,練馬区,2021.0,161380,65,65歳以上
131211,足立区,2021.0,171715,65,65歳以上
131229,葛飾区,2021.0,114217,65,65歳以上
131237,江戸川区,2021.0,147812,65,65歳以上
132012,八王子市,2021.0,153209,65,65歳以上
132021,立川市,2021.0,45506,65,65歳以上
132039,武蔵野市,2021.0,32893,65,65歳以上
132047,三鷹市,2021.0,41432,65,65歳以上
132055,青梅市,2021.0,40707,65,65歳以上
132063,府中市,2021.0,57533,65,65歳以上
132071,昭島市,2021.0,30033,65,65歳以上
132080,調布市,2021.0,51334,65,65歳以上
132098,町田市,2021.0,116195,65,65歳以上
132101,小金井市,2021.0,26159,65,65歳以上
132110,小平市,2021.0,45562,65,65歳以上
132128,日野市,2021.0,46496,65,65歳以上
132136,東村山市,2021.0,40712,65,65歳以上
132144,国分寺市,2021.0,27747,65,65歳以上
132152,国立市,2021.0,18008,65,65歳以上
132187,福生市,2021.0,15265,65,65歳以上
132195,狛江市,2021.0,19986,65,65歳以上
132209,東大和市,2021.0,23258,65,65歳以上
132217,清瀬市,2021.0,21077,65,65歳以上
132225,東久留米市,2021.0,33434,65,65歳以上
132233,武蔵村山市,2021.0,19150,65,65歳以上
132241,多摩市,2021.0,42863,65,65歳以上
132250,稲城市,2021.0,19859,65,65歳以上
132276,羽村市,2021.0,14579,65,65歳以上
132284,あきる野市,2021.0,24175,65,65歳以上
132292,西東京市,2021.0,49275,65,65歳以上
133035,瑞穂町,2021.0,9567,65,65歳以上
133051,日の出町,2021.0,5968,65,65歳以上
133078,檜原村,2021.0,1102,65,65歳以上
133086,奥多摩町,2021.0,2504,65,65歳以上
133612,大島町,2021.0,2819,65,65歳以上
133621,利島村,2021.0,77,65,65歳以上
133639,新島村,2021.0,1067,65,65歳以上
133647,神津島村,2021.0,600,65,65歳以上
133817,三宅村,2021.0,941,65,65歳以上
133825,御蔵島村,2021.0,54,65,65歳以上
134015,八丈町,2021.0,2890,65,65歳以上
134023,青ヶ島村,2021.0,33,65,65歳以上
134210,小笠原村,2021.0,428,65,65歳以上
131000,区部,,81150,27,27歳
131000,区部,,84232,26,26歳
131000,区部,,77962,25,25歳
131000,区部,,110296,24,24歳
131000,区部,,88191,23,23歳
131000,区部,,94787,22,22歳
131000,区部,,97540,21,21歳
