区,町丁目名,大字町丁目コード,世代,gord,人口
中央区,八重洲二丁目,131020019002,全世代,99,35
中央区,京橋一丁目,131020017001,全世代,99,66
中央区,京橋二丁目,131020017002,全世代,99,106
中央区,京橋三丁目,131020017003,全世代,99,68
中央区,銀座一丁目,131020004001,全世代,99,1473
中央区,銀座二丁目,131020004002,全世代,99,650
中央区,銀座三丁目,131020004003,全世代,99,302
中央区,銀座四丁目,131020004004,全世代,99,190
中央区,銀座五丁目,131020004005,全世代,99,29
中央区,銀座六丁目,131020004006,全世代,99,55
中央区,銀座七丁目,131020004007,全世代,99,218
中央区,銀座八丁目,131020004008,全世代,99,618
中央区,新富一丁目,131020012001,全世代,99,1240
中央区,新富二丁目,131020012002,全世代,99,956
中央区,入船一丁目,131020006001,全世代,99,989
中央区,入船二丁目,131020006002,全世代,99,859
中央区,入船三丁目,131020006003,全世代,99,795
中央区,湊一丁目,131020003001,全世代,99,1268
中央区,湊二丁目,131020003002,全世代,99,2846
中央区,湊三丁目,131020003003,全世代,99,3064
中央区,明石町,131020005000,全世代,99,3568
中央区,築地一丁目,131020002001,全世代,99,890
中央区,築地二丁目,131020002002,全世代,99,1076
中央区,築地三丁目,131020002003,全世代,99,948
中央区,築地四丁目,131020002004,全世代,99,603
中央区,築地五丁目,131020002005,全世代,99,366
中央区,築地六丁目,131020002006,全世代,99,1868
中央区,築地七丁目,131020002007,全世代,99,3287
中央区,浜離宮庭園,131020011000,全世代,99,0
中央区,八丁堀一丁目,131020013001,全世代,99,70
中央区,八丁堀二丁目,131020013002,全世代,99,1116
中央区,八丁堀三丁目,131020013003,全世代,99,1398
中央区,八丁堀四丁目,131020013004,全世代,99,1117
中央区,新川一丁目,131020014001,全世代,99,3297
中央区,新川一丁目,132040002001,全世代,99,3297
中央区,新川二丁目,131020014002,全世代,99,6227
中央区,新川二丁目,132040002002,全世代,99,6227
中央区,日本橋本石町一丁目,131020032001,全世代,99,0
中央区,日本橋本石町二丁目,131020032002,全世代,99,0
中央区,日本橋本石町三丁目,131020032003,全世代,99,3
中央区,日本橋本石町四丁目,131020032004,全世代,99,86
中央区,日本橋室町一丁目,131020018001,全世代,99,176
中央区,日本橋室町二丁目,131020018002,全世代,99,53
中央区,日本橋室町三丁目,131020018003,全世代,99,5
中央区,日本橋室町四丁目,131020018004,全世代,99,51
中央区,日本橋本町一丁目,131020030001,全世代,99,263
中央区,日本橋本町二丁目,131020030002,全世代,99,216
中央区,日本橋本町三丁目,131020030003,全世代,99,257
中央区,日本橋本町四丁目,131020030004,全世代,99,541
中央区,日本橋小舟町,131020029000,全世代,99,979
中央区,日本橋小伝馬町,131020035000,全世代,99,1079
中央区,日本橋大伝馬町,131020036000,全世代,99,1757
中央区,日本橋堀留町一丁目,131020027001,全世代,99,1160
中央区,日本橋堀留町二丁目,131020027002,全世代,99,1733
中央区,日本橋富沢町,131020033000,全世代,99,1488
中央区,日本橋人形町一丁目,131020016001,全世代,99,1590
中央区,日本橋人形町二丁目,131020016002,全世代,99,2595
中央区,日本橋人形町三丁目,131020016003,全世代,99,1050
中央区,日本橋小網町,131020031000,全世代,99,1318
中央区,日本橋蛎殻町一丁目,131020022001,全世代,99,3869
中央区,日本橋蛎殻町二丁目,131020022002,全世代,99,1417
中央区,日本橋箱崎町,131020024000,全世代,99,3752
中央区,日本橋馬喰町一丁目,131020037001,全世代,99,1410
中央区,日本橋馬喰町二丁目,131020037002,全世代,99,770
中央区,日本橋横山町,131020034000,全世代,99,1135
中央区,東日本橋一丁目,131020028001,全世代,99,1160
中央区,東日本橋二丁目,131020028002,全世代,99,2394
中央区,東日本橋三丁目,131020028003,全世代,99,2295
中央区,日本橋久松町,131020026000,全世代,99,748
中央区,日本橋浜町一丁目,131020021001,全世代,99,2192
中央区,日本橋浜町二丁目,131020021002,全世代,99,5041
中央区,日本橋浜町三丁目,131020021003,全世代,99,4750
中央区,日本橋中洲,131020025000,全世代,99,2533
中央区,八重洲一丁目,131020019001,全世代,99,34
中央区,日本橋一丁目,131020020001,全世代,99,75
中央区,日本橋二丁目,131020020002,全世代,99,65
中央区,日本橋三丁目,131020020003,全世代,99,197
中央区,日本橋茅場町一丁目,131020015001,全世代,99,46
中央区,日本橋茅場町二丁目,131020015002,全世代,99,567
中央区,日本橋茅場町三丁目,131020015003,全世代,99,672
中央区,日本橋兜町,131020023000,全世代,99,711
中央区,佃一丁目,131020001001,全世代,99,2742
中央区,佃二丁目,131020001002,全世代,99,10361
中央区,佃三丁目,131020001003,全世代,99,1841
中央区,月島一丁目,131020007001,全世代,99,5835
中央区,月島二丁目,131020007002,全世代,99,3166
中央区,月島三丁目,131020007003,全世代,99,4317
中央区,月島四丁目,131020007004,全世代,99,3572
中央区,勝どき一丁目,131020009001,全世代,99,4875
中央区,勝どき二丁目,131020009002,全世代,99,2926
中央区,勝どき三丁目,131020009003,全世代,99,3273
中央区,勝どき四丁目,131020009004,全世代,99,1768
中央区,勝どき五丁目,131020009005,全世代,99,7195
中央区,勝どき六丁目,131020009006,全世代,99,7176
中央区,豊海町,131020010000,全世代,99,543
中央区,晴海一丁目,131020008001,全世代,99,4128
中央区,晴海二丁目,131020008002,全世代,99,7164
中央区,晴海三丁目,131020008003,全世代,99,5080
中央区,晴海四丁目,131020008004,全世代,99,110
中央区,晴海五丁目,131020008005,全世代,99,1793
