区,町丁目名,大字町丁目コード,世代,gord,人口
目黒区,三田一丁目,131030019001,0~4歳,0,76
目黒区,三田一丁目,131030019001,5~9歳,1,60
目黒区,三田一丁目,131030019001,10~14歳,2,47
目黒区,三田一丁目,131030019001,15~19歳,3,57
目黒区,三田一丁目,131030019001,20~24歳,4,90
目黒区,三田一丁目,131030019001,25~29歳,5,125
目黒区,三田一丁目,131030019001,30~34歳,6,144
目黒区,三田一丁目,131030019001,35~39歳,7,193
目黒区,三田一丁目,131030019001,40~44歳,8,184
目黒区,三田一丁目,131030019001,45~49歳,9,192
目黒区,三田一丁目,131030019001,50~54歳,10,205
目黒区,三田一丁目,131030019001,55~59歳,11,200
目黒区,三田一丁目,131030019001,60~64歳,12,166
目黒区,三田一丁目,131030019001,65~69歳,13,133
目黒区,三田一丁目,131030019001,70~74歳,14,104
目黒区,三田一丁目,131030019001,75~79歳,15,101
目黒区,三田一丁目,131030019001,80~84歳,16,81
目黒区,三田一丁目,131030019001,85~89歳,17,56
目黒区,三田一丁目,131030019001,90~94歳,18,29
目黒区,三田一丁目,131030019001,95~99歳,19,5
目黒区,三田一丁目,131030019001,100~104歳,20,0
目黒区,三田二丁目,131030019002,0~4歳,0,100
目黒区,三田二丁目,131030019002,5~9歳,1,129
目黒区,三田二丁目,131030019002,10~14歳,2,113
目黒区,三田二丁目,131030019002,15~19歳,3,98
目黒区,三田二丁目,131030019002,20~24歳,4,154
目黒区,三田二丁目,131030019002,25~29歳,5,277
目黒区,三田二丁目,131030019002,30~34歳,6,259
目黒区,三田二丁目,131030019002,35~39歳,7,292
目黒区,三田二丁目,131030019002,40~44歳,8,294
目黒区,三田二丁目,131030019002,45~49歳,9,344
目黒区,三田二丁目,131030019002,50~54歳,10,303
目黒区,三田二丁目,131030019002,55~59歳,11,234
目黒区,三田二丁目,131030019002,60~64歳,12,202
目黒区,三田二丁目,131030019002,65~69歳,13,155
目黒区,三田二丁目,131030019002,70~74歳,14,197
目黒区,三田二丁目,131030019002,75~79歳,15,151
目黒区,三田二丁目,131030019002,80~84歳,16,131
目黒区,三田二丁目,131030019002,85~89歳,17,72
目黒区,三田二丁目,131030019002,90~94歳,18,46
目黒区,三田二丁目,131030019002,95~99歳,19,17
目黒区,三田二丁目,131030019002,100~104歳,20,4
目黒区,原町一丁目,131040049001,0~4歳,0,78
目黒区,原町一丁目,131040049001,5~9歳,1,77
目黒区,原町一丁目,131040049001,10~14歳,2,68
目黒区,原町一丁目,131040049001,15~19歳,3,51
目黒区,原町一丁目,131040049001,20~24歳,4,169
目黒区,原町一丁目,131040049001,25~29歳,5,332
目黒区,原町一丁目,131040049001,30~34歳,6,304
目黒区,原町一丁目,131040049001,35~39歳,7,254
目黒区,原町一丁目,131040049001,40~44歳,8,229
目黒区,原町一丁目,131040049001,45~49歳,9,213
目黒区,原町一丁目,131040049001,50~54歳,10,223
目黒区,原町一丁目,131040049001,55~59歳,11,182
目黒区,原町一丁目,131040049001,60~64歳,12,169
目黒区,原町一丁目,131040049001,65~69歳,13,131
目黒区,原町一丁目,131040049001,70~74歳,14,115
目黒区,原町一丁目,131040049001,75~79歳,15,120
目黒区,原町一丁目,131040049001,80~84歳,16,137
目黒区,原町一丁目,131040049001,85~89歳,17,78
目黒区,原町一丁目,131040049001,90~94歳,18,45
目黒区,原町一丁目,131040049001,95~99歳,19,11
目黒区,原町一丁目,131040049001,100~104歳,20,0
目黒区,原町二丁目,131040049002,0~4歳,0,93
目黒区,原町二丁目,131040049002,5~9歳,1,85
目黒区,原町二丁目,131040049002,10~14歳,2,82
目黒区,原町二丁目,131040049002,15~19歳,3,101
目黒区,原町二丁目,131040049002,20~24歳,4,123
目黒区,原町二丁目,131040049002,25~29歳,5,194
目黒区,原町二丁目,131040049002,30~34歳,6,169
目黒区,原町二丁目,131040049002,35~39歳,7,135
目黒区,原町二丁目,131040049002,40~44歳,8,186
目黒区,原町二丁目,131040049002,45~49歳,9,194
目黒区,原町二丁目,131040049002,50~54歳,10,224
目黒区,原町二丁目,131040049002,55~59歳,11,162
目黒区,原町二丁目,131040049002,60~64歳,12,148
目黒区,原町二丁目,131040049002,65~69歳,13,115
目黒区,原町二丁目,131040049002,70~74歳,14,126
目黒区,原町二丁目,131040049002,75~79歳,15,129
目黒区,原町二丁目,131040049002,80~84歳,16,96
目黒区,原町二丁目,131040049002,85~89歳,17,82
目黒区,原町二丁目,131040049002,90~94歳,18,38
目黒区,原町二丁目,131040049002,95~99歳,19,15
目黒区,原町二丁目,131040049002,100~104歳,20,1
品川区,八潮一丁目,131090001001,0~4歳,0,0
品川区,八潮一丁目,131090001001,5~9歳,1,0
品川区,八潮一丁目,131090001001,10~14歳,2,0
品川区,八潮一丁目,131090001001,15~19歳,3,0
品川区,八潮一丁目,131090001001,20~24歳,4,0
品川区,八潮一丁目,131090001001,25~29歳,5,0
品川区,八潮一丁目,131090001001,30~34歳,6,0
品川区,八潮一丁目,131090001001,35~39歳,7,0
品川区,八潮一丁目,131090001001,40~44歳,8,0
品川区,八潮一丁目,131090001001,45~49歳,9,0
品川区,八潮一丁目,131090001001,50~54歳,10,0
品川区,八潮一丁目,131090001001,55~59歳,11,0
