íj,,,,,,,,àÆãuÇPíöñ⁄,àÆãuÇQíöñ⁄,è¨í|í¨ÇPíöñ⁄,è¨í|í¨ÇQíöñ⁄,âhí¨,âHëÚÇPíöñ⁄,âHëÚÇQíöñ⁄,âHëÚÇRíöñ⁄,ñLã è„ÇPíöñ⁄,ñLã è„ÇQíöñ⁄,ñLã íÜÇPíöñ⁄,ñLã íÜÇQíöñ⁄,ñLã íÜÇRíöñ⁄,ñLã íÜÇSíöñ⁄,ñLã ìÏÇPíöñ⁄,ñLã ìÏÇQíöñ⁄,ñLã ìÏÇRíöñ⁄,ñLã ñkÇPíöñ⁄,ñLã ñkÇQíöñ⁄,ñLã ñkÇRíöñ⁄,ñLã ñkÇSíöñ⁄,ñLã ñkÇTíöñ⁄,ñLã ñkÇUíöñ⁄,íÜë∫ÇPíöñ⁄,íÜë∫ÇQíöñ⁄,íÜë∫ÇRíöñ⁄,íÜë∫ìÏÇPíöñ⁄,íÜë∫ìÏÇQíöñ⁄,íÜë∫ìÏÇRíöñ⁄,íÜë∫ñkÇPíöñ⁄,íÜë∫ñkÇQíöñ⁄,íÜë∫ñkÇRíöñ⁄,íÜë∫ñkÇSíöñ⁄,ç˜ë‰ÇPíöñ⁄,ç˜ë‰ÇQíöñ⁄,ç˜ë‰ÇRíöñ⁄,ç˜ë‰ÇSíöñ⁄,ç˜ë‰ÇTíöñ⁄,ç˜ë‰ÇUíöñ⁄,ó˚înÇPíöñ⁄,ó˚înÇQíöñ⁄,ó˚înÇRíöñ⁄,ó˚înÇSíöñ⁄,å¸éRÇPíöñ⁄,å¸éRÇQíöñ⁄,å¸éRÇRíöñ⁄,å¸éRÇSíöñ⁄,ä—à‰ÇPíöñ⁄,ä—à‰ÇQíöñ⁄,ä—à‰ÇRíöñ⁄,ä—à‰ÇSíöñ⁄,ä—à‰ÇTíöñ⁄,ã—ÇPíöñ⁄,ã—ÇQíöñ⁄,ïXêÏë‰ÇPíöñ⁄,ïXêÏë‰ÇQíöñ⁄,ïXêÏë‰ÇRíöñ⁄,ïXêÏë‰ÇSíöñ⁄,ïΩòaë‰ÇPíöñ⁄,ïΩòaë‰ÇQíöñ⁄,ïΩòaë‰ÇRíöñ⁄,ïΩòaë‰ÇSíöñ⁄,ëÅã{ÇPíöñ⁄,ëÅã{ÇQíöñ⁄,ëÅã{ÇRíöñ⁄,ëÅã{ÇSíöñ⁄,ètì˙í¨ÇPíöñ⁄,ètì˙í¨ÇQíöñ⁄,ètì˙í¨ÇRíöñ⁄,ètì˙í¨ÇSíöñ⁄,ètì˙í¨ÇTíöñ⁄,ètì˙í¨ÇUíöñ⁄,çÇèºÇPíöñ⁄,çÇèºÇQíöñ⁄,çÇèºÇRíöñ⁄,çÇèºÇSíöñ⁄,çÇèºÇTíöñ⁄,çÇèºÇUíöñ⁄,ñkí¨ÇPíöñ⁄,ñkí¨ÇQíöñ⁄,ñkí¨ÇRíöñ⁄,ñkí¨ÇSíöñ⁄,ñkí¨ÇTíöñ⁄,ñkí¨ÇUíöñ⁄,ñkí¨ÇVíöñ⁄,ñkí¨ÇWíöñ⁄,ìcïøÇPíöñ⁄,ìcïøÇQíöñ⁄,ìcïøÇRíöñ⁄,ìcïøÇSíöñ⁄,ìcïøÇTíöñ⁄,åıÇ™ãuÇPíöñ⁄,åıÇ™ãuÇQíöñ⁄,åıÇ™ãuÇRíöñ⁄,åıÇ™ãuÇSíöñ⁄,åıÇ™ãuÇTíöñ⁄,åıÇ™ãuÇUíöñ⁄,åıÇ™ãuÇVíöñ⁄,àÆí¨ÇPíöñ⁄,àÆí¨ÇQíöñ⁄,àÆí¨ÇRíöñ⁄,ìyéxìcÇPíöñ⁄,ìyéxìcÇQíöñ⁄,ìyéxìcÇRíöñ⁄,ìyéxìcÇSíöñ⁄,ïxémå©ë‰ÇPíöñ⁄,ïxémå©ë‰ÇQíöñ⁄,ïxémå©ë‰ÇRíöñ⁄,ïxémå©ë‰ÇSíöñ⁄,ìÏìcíÜÇPíöñ⁄,ìÏìcíÜÇQíöñ⁄,ìÏìcíÜÇRíöñ⁄,ìÏìcíÜÇSíöñ⁄,ìÏìcíÜÇTíöñ⁄,çÇñÏë‰ÇPíöñ⁄,çÇñÏë‰ÇQíöñ⁄,çÇñÏë‰ÇRíöñ⁄,çÇñÏë‰ÇSíöñ⁄,çÇñÏë‰ÇTíöñ⁄,íJå¥ÇPíöñ⁄,íJå¥ÇQíöñ⁄,íJå¥ÇRíöñ⁄,íJå¥ÇSíöñ⁄,íJå¥ÇTíöñ⁄,íJå¥ÇUíöñ⁄,éOå¥ë‰ÇPíöñ⁄,éOå¥ë‰ÇQíöñ⁄,éOå¥ë‰ÇRíöñ⁄,êŒê_à‰í¨ÇPíöñ⁄,êŒê_à‰í¨ÇQíöñ⁄,êŒê_à‰í¨ÇRíöñ⁄,êŒê_à‰í¨ÇSíöñ⁄,êŒê_à‰í¨ÇTíöñ⁄,êŒê_à‰í¨ÇUíöñ⁄,êŒê_à‰í¨ÇVíöñ⁄,êŒê_à‰í¨ÇWíöñ⁄,êŒê_à‰ë‰ÇPíöñ⁄,êŒê_à‰ë‰ÇQíöñ⁄,êŒê_à‰ë‰ÇRíöñ⁄,êŒê_à‰ë‰ÇSíöñ⁄,êŒê_à‰ë‰ÇTíöñ⁄,êŒê_à‰ë‰ÇUíöñ⁄,êŒê_à‰ë‰ÇVíöñ⁄,êŒê_à‰ë‰ÇWíöñ⁄,â∫êŒê_à‰ÇPíöñ⁄,â∫êŒê_à‰ÇQíöñ⁄,â∫êŒê_à‰ÇRíöñ⁄,â∫êŒê_à‰ÇSíöñ⁄,â∫êŒê_à‰ÇTíöñ⁄,â∫êŒê_à‰ÇUíöñ⁄,ìåëÂêÚÇPíöñ⁄,ìåëÂêÚÇQíöñ⁄,ìåëÂêÚÇRíöñ⁄,ìåëÂêÚÇSíöñ⁄,ìåëÂêÚÇTíöñ⁄,ìåëÂêÚÇUíöñ⁄,ìåëÂêÚÇVíöñ⁄,êºëÂêÚÇPíöñ⁄,êºëÂêÚÇQíöñ⁄,êºëÂêÚÇRíöñ⁄,êºëÂêÚÇSíöñ⁄,êºëÂêÚÇTíöñ⁄,êºëÂêÚÇUíöñ⁄,ìÏëÂêÚÇPíöñ⁄,ìÏëÂêÚÇQíöñ⁄,ìÏëÂêÚÇRíöñ⁄,ìÏëÂêÚÇSíöñ⁄,ìÏëÂêÚÇTíöñ⁄,ìÏëÂêÚÇUíöñ⁄,ëÂêÚí¨ÇPíöñ⁄,ëÂêÚí¨ÇQíöñ⁄,ëÂêÚí¨ÇRíöñ⁄,ëÂêÚí¨ÇSíöñ⁄,ëÂêÚí¨ÇTíöñ⁄,ëÂêÚí¨ÇUíöñ⁄,ëÂêÚäwâÄí¨ÇPíöñ⁄,ëÂêÚäwâÄí¨ÇQíöñ⁄,ëÂêÚäwâÄí¨ÇRíöñ⁄,ëÂêÚäwâÄí¨ÇSíöñ⁄,ëÂêÚäwâÄí¨ÇTíöñ⁄,ëÂêÚäwâÄí¨ÇUíöñ⁄,ëÂêÚäwâÄí¨ÇVíöñ⁄,ëÂêÚäwâÄí¨ÇWíöñ⁄,ëÂêÚäwâÄí¨ÇXíöñ⁄,ä÷í¨ñkÇPíöñ⁄,ä÷í¨ñkÇQíöñ⁄,ä÷í¨ñkÇRíöñ⁄,ä÷í¨ñkÇSíöñ⁄,ä÷í¨ñkÇTíöñ⁄,ä÷í¨ìÏÇPíöñ⁄,ä÷í¨ìÏÇQíöñ⁄,ä÷í¨ìÏÇRíöñ⁄,ä÷í¨ìÏÇSíöñ⁄,è„êŒê_à‰ìÏí¨,óßñÏí¨,è„êŒê_à‰ÇPíöñ⁄,è„êŒê_à‰ÇQíöñ⁄,è„êŒê_à‰ÇRíöñ⁄,è„êŒê_à‰ÇSíöñ⁄,ä÷í¨ìåÇPíöñ⁄,ä÷í¨ìåÇQíöñ⁄,êºëÂêÚí¨
0,R,4,12,-,R,4,1,13,2,19,15,11,3,10,8,8,13,8,11,15,11,4,4,24,5,7,8,16,11,7,7,9,15,26,15,17,12,14,9,12,14,16,24,16,13,11,15,4,10,17,10,10,3,13,14,21,9,16,14,11,12,0,12,25,12,14,11,26,17,10,16,18,17,21,21,12,13,15,12,11,15,13,11,15,12,11,29,24,0,5,7,10,14,18,36,20,37,20,7,7,28,0,11,2,16,16,16,15,11,19,16,6,10,15,13,16,13,8,9,9,3,8,17,8,8,7,3,4,13,6,24,6,19,12,13,7,13,23,18,3,10,17,9,6,14,18,19,19,11,4,16,9,9,11,7,10,14,16,26,12,7,10,26,17,13,17,10,9,18,14,16,12,16,32,16,7,13,19,5,7,6,11,17,21,14,12,13,11,15,14,0,8,16,7,17,15,8,10,15,36,8,11,18,15,12,28,17,2,0
1,,3,12,-,,3,1,15,5,15,10,7,2,7,10,15,12,6,10,10,10,4,8,20,4,5,7,15,12,13,8,10,11,18,12,8,13,12,7,16,10,13,14,10,23,18,5,10,13,9,5,9,5,16,14,30,13,20,15,17,16,0,13,26,16,15,4,22,13,19,22,13,18,18,17,14,19,16,28,17,16,10,16,10,20,18,28,19,0,13,15,17,7,19,19,20,30,18,7,18,26,0,8,1,22,16,15,9,16,26,12,11,10,11,18,22,11,6,12,10,4,17,15,9,13,11,13,6,4,10,16,11,21,12,9,5,24,13,7,10,18,23,15,2,18,25,18,16,18,8,15,6,13,9,13,18,10,12,23,19,3,11,22,24,11,12,11,16,11,12,16,16,28,21,20,8,17,20,14,8,4,5,5,10,12,5,9,24,11,6,0,7,17,8,24,13,11,19,21,37,10,14,9,16,11,15,13,2,0
2,,2,12,-,,2,1,22,8,16,17,12,0,13,9,11,13,13,10,10,13,11,6,21,4,4,6,15,11,10,4,7,21,21,20,16,13,17,5,9,12,20,14,7,20,12,10,7,14,14,7,9,6,21,18,16,7,13,11,15,16,0,13,19,17,20,8,26,14,23,15,18,18,19,13,13,14,19,22,16,18,7,20,9,9,18,32,13,0,8,9,7,7,12,20,27,37,17,4,13,25,0,9,5,14,17,23,15,20,23,20,19,15,8,16,19,16,9,8,11,4,16,25,12,15,14,19,8,6,5,24,8,13,10,9,11,21,11,17,2,12,19,17,5,15,17,15,15,15,10,18,12,11,15,12,10,12,15,30,17,7,15,33,30,14,7,14,16,17,13,11,16,19,28,11,4,17,9,6,12,8,15,13,20,13,7,14,19,12,22,0,10,10,17,20,22,7,7,21,26,11,15,12,14,11,22,14,1,0
3,,1,12,-,H,31,1,8,5,11,15,9,2,6,10,10,15,8,6,4,16,5,4,31,13,8,10,12,7,9,6,11,21,26,9,9,9,8,1,5,3,16,13,9,22,18,11,10,9,14,5,12,10,24,27,17,11,17,29,13,15,1,22,27,19,16,11,20,12,19,13,16,17,25,17,7,13,18,18,8,11,21,9,15,22,12,32,13,0,12,8,6,16,20,35,18,34,19,6,17,33,0,12,4,26,16,21,11,16,15,27,19,16,11,16,18,7,9,5,14,5,9,17,13,16,14,10,6,12,10,25,5,16,10,9,14,15,11,11,11,10,14,12,5,11,14,34,18,8,8,18,9,15,3,14,8,12,16,27,15,10,14,27,18,13,8,13,14,17,14,19,14,16,32,11,8,16,12,12,16,4,9,15,17,8,11,17,11,25,12,0,8,8,14,17,20,11,12,17,41,6,26,19,15,14,17,19,5,0
4,H,30,12,-,,30,1,7,5,22,16,8,5,12,13,3,17,7,8,4,20,8,8,30,6,7,9,7,15,9,13,11,21,15,8,12,17,14,5,9,15,16,16,14,17,19,9,12,9,7,3,5,14,17,29,16,11,10,16,12,10,1,22,25,13,20,14,17,15,19,17,28,19,20,13,19,14,18,16,12,14,14,17,9,20,15,27,13,0,9,14,3,19,21,24,22,35,16,8,16,34,0,5,5,18,18,17,9,21,30,22,20,13,11,17,19,13,10,12,7,5,11,12,7,11,18,11,10,12,10,18,8,28,14,11,14,14,11,13,5,12,23,28,10,18,20,25,21,8,10,25,9,16,19,10,17,18,23,24,14,11,21,28,23,18,10,16,13,20,23,22,17,17,24,20,4,20,14,8,8,10,8,19,13,16,19,14,21,14,15,0,7,9,14,18,12,14,14,35,25,4,17,11,13,14,20,7,0,0
5,,29,12,-,,29,1,14,7,23,18,5,0,10,7,8,13,11,10,9,5,4,3,21,6,7,7,16,10,10,7,18,16,21,12,18,9,18,6,8,14,16,20,9,16,21,3,6,12,9,4,10,10,18,30,15,21,19,17,19,14,0,24,12,13,20,8,18,17,13,10,19,16,18,18,13,19,25,22,9,16,10,20,11,17,9,31,11,0,8,5,6,12,18,24,20,35,16,3,21,36,0,9,5,26,22,13,14,21,17,25,10,13,12,21,25,16,9,14,16,11,7,19,12,13,22,14,8,9,8,22,12,18,8,11,5,17,7,14,4,17,21,22,7,22,15,20,20,11,6,16,7,7,10,19,15,18,11,33,9,14,21,24,24,22,13,19,24,11,15,22,11,21,28,15,6,24,9,7,17,6,14,16,19,15,16,20,16,15,15,0,11,17,14,13,25,15,20,31,30,5,19,17,15,14,22,10,2,0
6,,28,12,-,,28,1,3,5,16,13,15,7,15,11,2,9,9,15,12,12,10,6,27,5,11,8,8,9,11,8,14,8,16,9,13,9,13,6,5,12,17,23,9,13,9,13,8,13,15,5,14,15,18,32,13,12,15,18,8,14,0,26,20,9,17,13,21,14,16,19,28,17,27,14,12,14,19,21,14,8,20,19,4,20,15,41,10,0,10,5,8,9,17,32,28,37,15,6,14,40,0,11,5,35,21,18,16,15,22,27,16,13,17,25,21,10,14,11,8,8,9,15,5,9,18,15,5,7,9,14,9,22,9,17,15,17,11,10,7,16,22,16,3,17,21,26,20,14,10,16,19,14,21,12,12,21,13,30,21,12,16,32,27,15,15,20,23,19,15,21,25,18,19,16,3,23,23,14,18,13,8,15,23,17,11,24,14,28,21,0,14,13,20,21,16,6,17,41,32,7,16,13,13,9,25,21,6,0
7,,27,12,-,,27,1,7,12,20,21,16,1,9,9,6,11,9,12,9,17,10,5,15,8,10,12,5,9,8,10,17,15,12,17,12,15,18,6,13,15,25,13,13,14,12,12,10,10,6,4,10,6,13,25,16,14,11,18,16,17,2,20,19,20,16,21,30,9,15,22,20,16,26,19,7,25,21,20,11,10,15,13,11,19,11,38,12,0,8,4,10,11,23,27,26,42,16,6,24,38,0,15,5,30,24,18,11,24,15,24,20,9,11,28,22,7,9,6,21,6,12,13,15,12,19,17,11,12,8,25,13,20,12,7,12,21,3,19,6,15,15,20,12,23,21,17,22,10,6,21,11,18,22,12,18,15,20,25,23,7,16,26,23,17,9,10,22,13,16,17,17,17,22,11,8,28,15,12,20,9,6,19,20,12,14,22,18,20,22,0,9,11,20,11,33,10,11,33,37,12,35,9,13,9,25,12,4,0
8,,26,12,-,,26,1,10,7,17,11,14,4,13,10,11,6,16,10,6,13,10,9,24,4,11,9,7,11,6,8,24,16,26,17,6,17,10,4,14,10,16,19,11,14,20,11,9,10,6,5,27,8,23,22,6,10,21,15,9,13,2,20,14,12,15,13,18,17,18,16,27,20,21,19,15,15,13,23,15,9,20,15,14,15,15,35,10,0,7,8,13,13,12,19,25,38,13,4,19,48,0,8,2,29,16,19,19,17,21,20,15,11,9,15,24,10,7,9,16,4,8,21,10,9,21,13,10,13,12,18,17,12,10,16,7,19,10,20,11,11,13,16,4,19,28,25,28,16,9,18,13,11,8,13,15,13,13,28,18,12,25,28,25,14,12,23,22,18,24,24,16,31,28,17,4,25,19,14,16,13,5,20,20,22,19,25,16,23,16,0,15,10,17,16,24,13,14,27,28,10,29,14,23,6,26,10,1,0
9,,25,12,-,,25,1,13,10,15,24,14,2,14,12,4,9,15,11,9,8,13,5,27,7,5,10,3,5,14,8,19,21,24,17,11,8,15,2,6,17,18,19,12,20,19,10,11,5,14,4,12,12,19,21,11,19,19,8,16,14,0,20,21,21,22,17,20,11,16,10,18,17,20,17,16,11,22,12,11,14,19,16,10,15,15,43,6,0,10,1,7,13,16,20,34,42,23,2,20,45,0,8,4,23,22,16,13,15,21,23,19,16,13,20,16,7,10,15,21,8,12,15,13,6,17,17,6,21,19,13,17,23,10,14,10,18,17,11,5,13,9,15,5,21,27,19,19,14,9,23,12,17,18,15,10,19,17,20,21,10,20,24,28,13,14,16,14,21,19,25,21,24,30,20,12,33,10,10,16,5,8,18,17,13,18,20,20,19,19,0,6,19,20,14,19,13,20,21,38,9,29,9,10,12,12,16,7,0
10,,24,12,-,,24,1,2,4,15,17,17,4,17,8,5,6,12,11,9,12,7,10,21,8,5,7,16,9,8,9,19,15,17,20,9,17,14,7,7,15,12,12,11,20,14,5,9,11,14,6,21,9,18,23,6,11,12,10,20,13,0,18,16,14,17,10,17,10,19,12,20,24,17,13,14,18,12,20,11,8,20,20,11,12,9,34,5,0,4,2,9,13,18,33,25,43,20,6,24,37,0,9,6,34,14,20,18,13,20,19,16,11,21,21,14,12,9,15,15,4,12,16,9,11,15,12,10,23,19,13,15,27,8,10,6,18,8,21,7,14,17,23,7,26,20,18,19,17,7,9,10,21,17,19,19,14,22,25,21,10,12,35,22,8,17,17,19,23,16,26,28,25,30,10,8,20,22,12,15,9,4,15,12,18,18,40,21,20,26,0,11,12,19,20,27,8,18,20,20,8,43,14,16,10,13,14,0,0
11,,23,12,-,,23,1,16,7,20,20,13,2,11,10,3,5,11,11,5,11,9,11,23,11,11,9,10,5,7,11,18,18,26,19,22,13,14,3,8,13,16,19,5,15,10,7,9,12,16,5,6,6,24,24,9,22,13,5,10,15,0,15,14,14,20,19,21,14,14,8,15,16,20,12,13,15,12,16,12,6,16,15,16,16,15,33,12,0,10,7,6,7,15,14,23,31,19,7,20,46,0,7,4,30,20,13,18,16,18,18,21,13,12,17,21,12,10,7,16,5,9,15,13,14,14,10,11,13,15,23,10,24,7,22,10,18,11,13,2,16,16,27,9,20,27,21,16,19,6,32,26,18,11,18,8,9,20,29,17,15,13,22,16,22,13,15,30,19,14,21,17,26,27,22,15,36,23,9,13,5,7,14,22,22,20,24,29,24,15,0,9,16,16,19,20,8,16,18,20,12,27,12,21,11,18,11,3,0
12,,22,12,-,,22,1,8,7,9,16,15,3,13,13,2,5,14,13,8,12,8,3,19,6,8,6,12,8,12,11,19,16,21,17,11,15,11,8,3,11,22,20,13,13,21,7,15,10,9,4,15,10,12,24,12,17,17,9,20,7,0,17,19,19,31,8,18,12,17,7,17,17,20,18,17,17,24,19,15,14,12,16,10,9,20,30,10,0,3,5,6,6,15,16,28,36,10,7,25,51,0,6,7,29,26,25,17,19,15,27,28,13,11,18,15,5,8,9,22,8,9,18,17,16,17,11,8,17,13,17,11,14,13,19,12,14,11,13,5,15,14,18,11,24,27,17,21,12,4,22,14,19,14,7,18,29,28,29,15,12,19,33,18,17,13,20,27,26,17,14,18,30,24,23,10,23,16,18,22,5,7,10,19,30,21,26,20,23,28,0,14,12,21,24,34,7,19,19,31,6,28,18,17,13,17,10,6,0
13,,21,12,-,,21,1,6,7,15,17,10,4,5,8,5,8,8,9,9,12,5,9,21,3,9,7,10,9,10,10,20,23,28,15,9,16,9,4,8,17,19,21,8,12,16,7,12,7,19,7,16,7,28,15,19,15,13,7,17,10,1,12,17,20,15,21,17,15,17,10,20,24,9,13,9,17,11,14,3,9,8,22,17,14,11,28,6,0,6,3,10,6,23,21,39,36,21,2,21,37,0,7,2,25,25,12,15,6,15,19,21,10,18,24,21,12,8,6,17,8,11,14,10,12,12,11,9,11,19,19,13,25,12,17,12,15,7,20,5,18,19,24,11,23,31,19,22,11,6,24,20,14,8,15,9,21,19,33,23,14,8,22,20,13,20,19,40,16,14,14,23,21,38,26,12,34,19,10,27,7,9,11,14,15,21,30,22,27,27,0,13,21,13,13,31,11,16,18,22,10,21,11,11,19,10,13,1,0
14,,20,12,-,,20,1,10,5,11,16,14,1,18,10,4,5,12,14,7,9,10,8,24,3,10,6,13,4,9,9,24,17,21,15,15,11,11,7,6,17,13,11,6,24,16,6,14,11,14,10,11,10,14,27,8,17,14,7,18,9,0,19,17,21,17,12,21,8,17,18,19,27,23,21,12,15,15,12,7,14,26,18,17,17,14,25,5,0,9,7,8,9,18,28,39,43,20,4,31,41,0,13,3,28,20,11,7,14,18,12,24,14,10,22,23,15,14,12,17,7,13,18,13,14,17,9,11,18,13,14,21,17,11,12,11,19,10,9,11,12,21,19,14,22,20,27,26,24,9,20,12,16,8,13,15,22,16,47,24,14,13,26,27,23,16,15,26,15,9,18,23,22,29,23,13,40,17,16,31,10,13,17,11,24,28,32,28,28,26,0,6,17,15,16,28,8,14,17,31,5,21,15,11,9,11,13,4,0
15,,19,12,-,,19,1,7,4,8,13,8,5,15,13,8,7,9,10,4,12,6,7,20,8,6,8,17,8,13,9,18,11,11,16,12,13,16,4,10,12,20,11,10,21,18,3,7,9,18,4,12,12,21,24,11,17,23,6,18,11,3,10,23,22,19,14,23,16,10,15,22,21,24,21,13,18,24,20,17,15,22,10,7,17,15,20,7,0,7,9,9,15,28,23,34,32,23,7,29,43,0,9,4,25,21,14,12,28,12,31,17,13,18,16,15,8,14,8,15,8,14,16,11,13,10,18,5,18,13,18,13,21,15,15,8,21,10,12,8,11,17,27,4,27,34,13,22,13,14,23,18,23,12,11,7,22,14,42,20,7,17,31,28,21,21,22,24,22,10,16,13,33,26,17,10,31,20,21,37,8,7,17,15,21,31,32,25,26,22,0,6,17,26,15,22,9,23,4,36,9,40,14,15,13,17,13,6,0
16,,18,12,-,,18,1,7,1,13,17,15,1,10,11,3,5,9,13,11,13,11,8,17,4,3,5,11,9,8,22,26,11,19,15,9,13,11,7,7,10,13,19,7,22,13,12,7,5,16,9,8,6,27,24,4,14,15,2,13,15,0,18,16,23,19,8,23,12,26,20,22,19,19,13,14,22,17,14,15,9,22,15,9,13,13,28,16,0,19,8,9,14,9,25,25,38,18,3,28,35,0,14,4,21,15,19,17,16,18,25,20,13,13,14,19,12,4,15,13,7,7,16,12,11,16,7,10,15,15,13,13,20,16,16,11,13,5,12,10,12,15,17,12,23,19,20,15,18,17,17,13,15,12,11,7,15,23,33,16,9,14,22,27,15,22,15,26,18,14,17,30,18,27,27,11,36,29,24,17,14,9,17,16,14,30,28,28,25,28,0,12,15,8,10,30,7,15,22,35,7,20,15,17,7,11,15,3,0
17,,17,12,-,,17,1,16,4,16,15,11,1,11,6,8,8,5,11,9,9,8,10,15,7,6,6,6,5,10,7,8,25,16,10,9,9,9,5,4,18,21,18,5,19,15,6,7,6,11,4,14,12,12,20,13,15,16,8,14,8,1,15,14,27,9,11,21,7,20,15,18,21,13,20,12,20,20,13,6,13,17,15,15,16,14,24,10,0,5,9,5,9,22,28,37,32,25,4,24,27,0,12,1,21,20,6,14,16,14,27,25,12,14,21,15,12,8,9,13,10,18,10,9,13,15,12,6,7,14,12,11,23,20,11,10,19,10,14,4,11,22,16,7,24,26,24,19,13,23,23,16,23,3,9,7,18,25,41,18,11,7,27,29,17,22,24,23,19,12,26,19,21,29,17,14,25,26,14,27,10,12,11,16,18,26,26,22,27,29,0,11,13,16,10,22,9,18,12,38,8,23,8,13,18,16,20,3,1
18,,16,12,-,,16,1,7,8,13,9,17,2,11,6,7,11,9,8,7,11,14,3,20,7,7,7,15,9,9,19,14,14,20,10,20,13,13,5,12,16,22,14,11,17,18,16,12,7,21,3,17,8,18,12,10,23,17,4,23,9,1,10,13,27,19,10,28,16,20,14,24,18,20,25,14,14,14,12,18,13,28,21,7,11,12,18,11,18,10,8,6,12,28,35,24,58,19,6,29,36,0,10,1,16,19,18,11,12,19,19,20,19,13,13,29,13,13,7,15,8,16,21,13,5,10,9,5,10,15,12,14,23,15,11,11,22,10,17,8,13,24,26,9,30,29,20,24,16,20,22,14,13,13,10,7,14,16,33,18,8,14,31,26,19,11,25,26,15,10,30,23,20,22,21,6,25,24,23,24,6,10,12,24,22,20,33,24,20,26,0,11,11,25,11,33,13,18,18,34,9,21,32,12,12,20,15,4,0
19,,15,12,-,,15,1,7,11,23,18,16,3,13,10,10,11,6,15,8,7,15,10,22,8,10,8,15,7,14,2,16,15,28,15,16,8,10,7,9,22,16,16,17,17,13,16,15,5,14,7,14,11,18,11,15,14,12,11,11,12,0,17,18,39,14,18,21,28,15,27,26,26,18,21,24,20,11,11,13,14,20,20,13,14,28,24,10,41,8,7,19,19,28,28,32,42,16,7,26,35,0,14,0,19,22,22,13,25,20,23,10,15,17,22,14,7,11,5,14,11,12,10,16,12,13,13,8,17,19,13,9,25,16,21,11,18,6,13,7,14,19,20,9,25,27,20,31,12,28,23,12,18,10,14,7,19,18,29,21,12,29,13,36,19,24,29,23,25,12,22,21,15,38,36,14,27,20,22,18,8,7,15,19,17,30,34,27,30,29,0,14,25,22,19,39,12,12,12,50,12,32,31,18,14,17,18,7,0
