区,町丁目名,世代,人口
中央区,八重洲二丁目,全世代,35
中央区,京橋一丁目,全世代,66
中央区,京橋二丁目,全世代,106
中央区,京橋三丁目,全世代,68
中央区,銀座一丁目,全世代,1473
中央区,銀座二丁目,全世代,650
中央区,銀座三丁目,全世代,302
中央区,銀座四丁目,全世代,190
中央区,銀座五丁目,全世代,29
中央区,銀座六丁目,全世代,55
中央区,銀座七丁目,全世代,218
中央区,銀座八丁目,全世代,618
中央区,新富一丁目,全世代,1240
中央区,新富二丁目,全世代,956
中央区,入船一丁目,全世代,989
中央区,入船二丁目,全世代,859
中央区,入船三丁目,全世代,795
中央区,湊一丁目,全世代,1268
中央区,湊二丁目,全世代,2846
中央区,湊三丁目,全世代,3064
中央区,明石町,全世代,3568
中央区,築地一丁目,全世代,890
中央区,築地二丁目,全世代,1076
中央区,築地三丁目,全世代,948
中央区,築地四丁目,全世代,603
中央区,築地五丁目,全世代,366
中央区,築地六丁目,全世代,1868
中央区,築地七丁目,全世代,3287
中央区,浜離宮庭園,全世代,0
中央区,八丁堀一丁目,全世代,70
中央区,八丁堀二丁目,全世代,1116
中央区,八丁堀三丁目,全世代,1398
中央区,八丁堀四丁目,全世代,1117
中央区,新川一丁目,全世代,3297
中央区,新川二丁目,全世代,6227
中央区,日本橋本石町一丁目,全世代,0
中央区,日本橋本石町二丁目,全世代,0
中央区,日本橋本石町三丁目,全世代,3
中央区,日本橋本石町四丁目,全世代,86
中央区,日本橋室町一丁目,全世代,176
中央区,日本橋室町二丁目,全世代,53
中央区,日本橋室町三丁目,全世代,5
中央区,日本橋室町四丁目,全世代,51
中央区,日本橋本町一丁目,全世代,263
中央区,日本橋本町二丁目,全世代,216
中央区,日本橋本町三丁目,全世代,257
中央区,日本橋本町四丁目,全世代,541
中央区,日本橋小舟町,全世代,979
中央区,日本橋小伝馬町,全世代,1079
中央区,日本橋大伝馬町,全世代,1757
中央区,日本橋堀留町一丁目,全世代,1160
中央区,日本橋堀留町二丁目,全世代,1733
中央区,日本橋富沢町,全世代,1488
中央区,日本橋人形町一丁目,全世代,1590
中央区,日本橋人形町二丁目,全世代,2595
中央区,日本橋人形町三丁目,全世代,1050
中央区,日本橋小網町,全世代,1318
中央区,日本橋蛎殻町一丁目,全世代,3869
中央区,日本橋蛎殻町二丁目,全世代,1417
中央区,日本橋箱崎町,全世代,3752
中央区,日本橋馬喰町一丁目,全世代,1410
中央区,日本橋馬喰町二丁目,全世代,770
中央区,日本橋横山町,全世代,1135
中央区,東日本橋一丁目,全世代,1160
中央区,東日本橋二丁目,全世代,2394
中央区,東日本橋三丁目,全世代,2295
中央区,日本橋久松町,全世代,748
中央区,日本橋浜町一丁目,全世代,2192
中央区,日本橋浜町二丁目,全世代,5041
中央区,日本橋浜町三丁目,全世代,4750
中央区,日本橋中洲,全世代,2533
中央区,八重洲一丁目,全世代,34
中央区,日本橋一丁目,全世代,75
中央区,日本橋二丁目,全世代,65
中央区,日本橋三丁目,全世代,197
中央区,日本橋茅場町一丁目,全世代,46
中央区,日本橋茅場町二丁目,全世代,567
中央区,日本橋茅場町三丁目,全世代,672
中央区,日本橋兜町,全世代,711
中央区,佃一丁目,全世代,2742
中央区,佃二丁目,全世代,10361
中央区,佃三丁目,全世代,1841
中央区,月島一丁目,全世代,5835
中央区,月島二丁目,全世代,3166
中央区,月島三丁目,全世代,4317
中央区,月島四丁目,全世代,3572
中央区,勝どき一丁目,全世代,4875
中央区,勝どき二丁目,全世代,2926
中央区,勝どき三丁目,全世代,3273
中央区,勝どき四丁目,全世代,1768
中央区,勝どき五丁目,全世代,7195
中央区,勝どき六丁目,全世代,7176
中央区,豊海町,全世代,543
中央区,晴海一丁目,全世代,4128
中央区,晴海二丁目,全世代,7164
中央区,晴海三丁目,全世代,5080
中央区,晴海四丁目,全世代,110
中央区,晴海五丁目,全世代,1793
