当落,得票数,a,氏名,年齢,性別,党派,新旧,主な肩書き,b,区名,年
当,804.415,,小林 孝也,56,男,無所属,現,無職,,千代田,2011
当,800,,林 則行,37,男,無所属,現,区議会議員,,千代田,2011
当,794,,桜井 正,57,男,自民,現,会社役員,,千代田,2011
当,736,,永田 壮一,40,男,自民,新,大学院生,,千代田,2011
当,720,,内田 直之,47,男,自民,新,一級建築士事務所代表,,千代田,2011
当,651,,高山 肇,63,男,自民,現,古書店経営,,千代田,2011
当,650,,嶋崎 秀彦,51,男,自民,現,区議会議員,,千代田,2011
当,628,,大串 博康,56,男,公明,現,区議会議員,,千代田,2011
当,609,,安岡 賢二,65,男,無所属,新,寝具卸経営,,千代田,2011
当,596,,早尾 恭一,50,男,無所属,現,会社役員,,千代田,2011
当,586,,河合 良郎,59,男,無所属,現,会社役員,,千代田,2011
当,576,,高沢 秀行,56,男,無所属,現,塗装所経営,,千代田,2011
当,565,,松本 佳子,68,女,自民,現,無職,,千代田,2011
当,561,,戸張 孝次郎,63,男,自民,現,写真店経営,,千代田,2011
当,545,,山田 永秀,61,男,公明,現,区議会議員,,千代田,2011
当,539,,岩佐 綾子,40,女,民主,新,都議会議員秘書,,千代田,2011
当,527.584,,小林 泰夫,58,男,自民,現,区議会議員,,千代田,2011
当,525.622,,宇佐美 正記,53,男,みんな,新,会社員,,千代田,2011
当,523,,飯島 和子,64,女,共産,現,区議会議員,,千代田,2011
当,517,,石渡 伸幸,68,男,自民,現,会社社長,,千代田,2011
当,515,,木村 正明,56,男,共産,現,区議会議員,,千代田,2011
当,514,,鳥海 隆弘,67,男,自民,現,区議会議員,,千代田,2011
当,475,,寺沢 文子,67,女,無所属,現,区議会議員,,千代田,2011
当,444,,小枝 寿美子,47,女,民主,現,区議会議員,,千代田,2011
当,444,,中村 恒雄,63,男,無所属,現,区議会議員,,千代田,2011
落,442,,武 ちひろ,35,女,自民,新,会社役員,,千代田,2011
落,401,,久門 治人,67,男,無所属,元,会社役員,,千代田,2011
落,400,,牛尾 耕二郎,39,男,共産,新,団体職員,,千代田,2011
落,386,,荻原 秀夫,62,男,無所属,現,区議会議員,,千代田,2011
落,372,,市川 宗隆,79,男,無所属,現,区議会議員,,千代田,2011
