年,区名,当落,得票数,氏名,よみ,年齢,性別,党派,新旧,主な肩書き,得票率%,略称党名,党順序,自治体コード
2011,目黒,当,3986.0,須藤　甚一郎,すどう　じんいちろう,72.0,男,無所属,現,ジャーナリスト,4.8,無所属,11.0,131105
2011,目黒,当,1845.0,梅原　辰郎,うめはら　たつろう,63.0,男,無所属,現,区議会議員,2.22,無所属,11.0,131105
2011,目黒,当,1516.0,坂本　史子,さかもと　ふみこ,55.0,女,無所属,現,区議会議員,1.83,無所属,11.0,131105
2011,目黒,落,855.093,伊東　たつみ,いとう　たつみ,34.0,女,無所属,新,事務員,1.03,無所属,11.0,131105
2011,目黒,落,733.0,高林　邦年,たかばやし　くにとし,34.0,男,無所属,新,無職,0.88,無所属,11.0,131105
2011,目黒,落,653.0,畑野　勝範,はたの　かつのり,65.0,男,無所属,新,印刷業,0.79,無所属,11.0,131105
2011,目黒,落,557.0,竹村　雄尉,たけむら　ゆうい,27.0,男,無所属,新,看護ヘルパー,0.67,無所属,11.0,131105
2011,目黒,落,380.0,平田　文昭,ひらた　ふみあき,51.0,男,無所属,新,著述家,0.46,無所属,11.0,131105
2011,目黒,落,372.256,佐藤　可門,さとう　かもん,34.0,男,無所属,新,マンション管理士,0.45,無所属,11.0,131105
2011,目黒,落,353.0,中井　正則,なかい　まさのり,50.0,男,無所属,新,学習塾講師,0.42,無所属,11.0,131105
2011,目黒,落,181.0,古荘　耕二,ふるしょう　こうじ,39.0,男,無所属,新,会社代表取締役,0.22,無所属,11.0,131105
2015,目黒,当,4303.0,須藤　甚一郎,すどう　じんいちろう,76.0,男,無所属,現,区議会議員,4.99,無所属,11.0,131105
2015,目黒,当,2572.0,竹村　雄尉,たけむら　ゆうい,31.0,男,無所属,新,秘書,2.98,無所属,11.0,131105
2015,目黒,当,2395.0,鴨志田　リエ,かもしだ　りえ,56.0,女,無所属,元,会社役員,2.78,無所属,11.0,131105
2015,目黒,当,1979.0,田添　麻友,たぞえ　まゆ,32.0,女,無所属,新,経営コンサルタント,2.29,無所属,11.0,131105
2015,目黒,当,1717.0,坂本　史子,さかもと　ふみこ,59.0,女,無所属,現,区議会議員,1.99,無所属,11.0,131105
2015,目黒,当,1408.0,小沢　藍,おざわ　あい,33.0,女,無所属,新,無職,1.63,無所属,11.0,131105
2015,目黒,落,1394.0,秋元　馨,あきもと　かおる,40.0,男,無所属,現,区議会議員,1.62,無所属,11.0,131105
2015,目黒,落,1005.0,高林　邦年,たかばやし　くにとし,38.0,男,無所属,新,スポーツ指導員,1.16,無所属,11.0,131105
2015,目黒,落,724.0,梅原　辰郎,うめはら　たつろう,67.0,男,無所属,現,区議会議員,0.84,無所属,11.0,131105
