年,区名,当落,得票数,氏名,よみ,年齢,性別,党派,新旧,主な肩書き,得票率%,略称党名,党順序,自治体コード
2011,目黒,当,3986,須藤　甚一郎,すどう　じんいちろう,72,男,無所属,現,ジャーナリスト,4.8,無所属,11,131105
2011,目黒,当,1845,梅原　辰郎,うめはら　たつろう,63,男,無所属,現,区議会議員,2.222,無所属,11,131105
2011,目黒,当,1516,坂本　史子,さかもと　ふみこ,55,女,無所属,現,区議会議員,1.826,無所属,11,131105
2011,目黒,落,855.093,伊東　たつみ,いとう　たつみ,34,女,無所属,新,事務員,1.03,無所属,11,131105
2011,目黒,落,733,高林　邦年,たかばやし　くにとし,34,男,無所属,新,無職,0.883,無所属,11,131105
2011,目黒,落,653,畑野　勝範,はたの　かつのり,65,男,無所属,新,印刷業,0.786,無所属,11,131105
2011,目黒,落,557,竹村　雄尉,たけむら　ゆうい,27,男,無所属,新,看護ヘルパー,0.671,無所属,11,131105
2011,目黒,落,380,平田　文昭,ひらた　ふみあき,51,男,無所属,新,著述家,0.458,無所属,11,131105
2011,目黒,落,372.256,佐藤　可門,さとう　かもん,34,男,無所属,新,マンション管理士,0.448,無所属,11,131105
2011,目黒,落,353,中井　正則,なかい　まさのり,50,男,無所属,新,学習塾講師,0.425,無所属,11,131105
2011,目黒,落,181,古荘　耕二,ふるしょう　こうじ,39,男,無所属,新,会社代表取締役,0.218,無所属,11,131105
2015,目黒,当,4303,須藤　甚一郎,すどう　じんいちろう,76,男,無所属,現,区議会議員,4.989,無所属,11,131105
2015,目黒,当,2572,竹村　雄尉,たけむら　ゆうい,31,男,無所属,新,秘書,2.982,無所属,11,131105
2015,目黒,当,2395,鴨志田　リエ,かもしだ　りえ,56,女,無所属,元,会社役員,2.777,無所属,11,131105
2015,目黒,当,1979,田添　麻友,たぞえ　まゆ,32,女,無所属,新,経営コンサルタント,2.294,無所属,11,131105
2015,目黒,当,1717,坂本　史子,さかもと　ふみこ,59,女,無所属,現,区議会議員,1.991,無所属,11,131105
2015,目黒,当,1408,小沢　藍,おざわ　あい,33,女,無所属,新,無職,1.632,無所属,11,131105
2015,目黒,落,1394,秋元　馨,あきもと　かおる,40,男,無所属,現,区議会議員,1.616,無所属,11,131105
2015,目黒,落,1005,高林　邦年,たかばやし　くにとし,38,男,無所属,新,スポーツ指導員,1.165,無所属,11,131105
2015,目黒,落,724,梅原　辰郎,うめはら　たつろう,67,男,無所属,現,区議会議員,0.839,無所属,11,131105
2015,目黒,落,601,金井　洋,かない　ひろし,42,男,無所属,新,介護福祉士,0.697,無所属,11,131105
2015,目黒,落,188,田中　弘武,たなか　ひろむ,27,男,無所属,新,会社員,0.218,無所属,11,131105
2019,目黒,当,3015,須藤　甚一郎,,80,男,無所属,現,,3.277,無所属,11,131105
2019,目黒,当,2757,青木　英太,,28,男,無所属,新,,2.997,無所属,11,131105
2019,目黒,当,2120,鴨志田　リエ,,60,女,無所属,現,,2.305,無所属,11,131105
2019,目黒,当,2035,改田　和弘,,25,男,無所属,新,,2.212,無所属,11,131105
2019,目黒,当,1925,吉野　正人,,52,男,無所属,現,,2.093,無所属,11,131105
2019,目黒,当,1657,岸　大介,,45,男,無所属,新,,1.801,無所属,11,131105
2019,目黒,当,1520,白川　愛,,44,女,無所属,新,,1.652,無所属,11,131105
2019,目黒,落,984,小沢　藍,,37,女,無所属,現,,1.07,無所属,11,131105
2019,目黒,落,546,梅原　辰郎,,71,男,無所属,元,,0.594,無所属,11,131105
2019,目黒,落,454,木村　寛紀,,41,男,無所属,新,,0.494,無所属,11,131105
2019,目黒,落,238,渡辺　雅仁,,60,男,無所属,新,,0.259,無所属,11,131105
2011,目黒,当,2944,伊賀　保夫,いが　やすお,33,男,みんな,新,会社役員,3.545,諸派,99,131105
2011,目黒,当,2180,松田　哲也,まつだ　てつや,46,男,みんな,現,区議会議員,2.625,諸派,99,131105
2011,目黒,当,2155,秋元　馨,あきもと　かおる,36,男,みんな,新,会社経営,2.595,諸派,99,131105
2011,目黒,落,839,平田　喜章,ひらた　きしょう,40,男,みんな,新,政党支部長,1.01,諸派,99,131105
2011,目黒,当,2230,広吉　敦子,ひろよし　あつこ,46,女,目黒・生活者ネットワーク,新,ヨガインストラクター,2.685,諸派,99,131105
