,党派,略称党名,党順序
0,『教育勅語』明治の会,諸派,99
1,あたらしい党,諸派,99
2,ガンバル,諸派,99
3,たちあがれ日本,諸派,99
4,たち日,諸派,99
5,みんな,諸派,99
6,みんなのための「区民党」,諸派,99
7,みんなの大田,諸派,99
8,ユーチューバー推進党,諸派,99
9,元気,諸派,99
10,幸福実現党,諸派,99
11,私達の教育勅語・明治からの道徳を伝える会,諸派,99
12,次世代,諸派,99
13,自由,諸派,99
14,自由を守る会,諸派,99
15,渋谷オンブスマン,諸派,99
16,渋谷オンブズマン,諸派,99
17,大田・生活者ネットワーク,諸派,99
18,都ファ,諸派,99
19,都民ファーストの会,諸派,99
20,闘う改革の会東京,諸派,99
21,日本創新党,諸派,99
22,品川・生活者ネットワーク,諸派,99
23,無所属,無所属,11
24,目黒・生活者ネットワーク,諸派,99
25,緑の党,諸派,99
26,立憲,立憲,2
27,民主,民主,80
28,社民,社民,8
29,自民,自民,1
30,国民,国民,6
31,公明,公明,4
32,共産,共産,5
33,維新,維新,3
34,NHKから国民を守る党,NHK,9
35,れいわ新選組,れいわ,7
36,参政党,参政,10
1072,2100年の杉並を考える会,諸派,99
1135,みんなの党,諸派,99
1249,みんなの豊島,諸派,99
33,オンブズマンみなと,諸派,99
1927,オンブズマン練馬,諸派,99
1759,チャレンジド日本,諸派,99
1413,デジタル大海党,諸派,99
1013,ネット,諸派,99
1822,ネット市民,諸派,99
931,ブラック企業をなくす党,諸派,99
780,中野・生活者ネットワーク,諸派,99
2297,区民の声を届ける会,諸派,99
320,反グローバリズム国際保守連盟,諸派,99
328,国民新,諸派,99
2526,土日夜間議会改革,諸派,99
1306,地域課題を解決する会,諸派,99
579,墨田の福祉を良くする会,諸派,99
490,墨田オンブズマン,諸派,99
2363,大日本神民塾,諸派,99
1915,市民の声ねりま,諸派,99
1819,市民ネリマ行革110番,諸派,99
2304,平和党核兵器廃絶平和運動,諸派,99
178,新社会党,諸派,99
1952,日本第一党,諸派,99
951,杉並・生活者ネットワーク,諸派,99
1653,板橋・生活者ネットワーク,諸派,99
2200,民進,諸派,99
2398,江戸川・生活者ネットワーク,諸派,99
716,江東・生活者ネットワーク,諸派,99
414,清和会,諸派,99
1163,減税日本,諸派,99
149,無所属・ゼロの会,諸派,99
2187,無給党,諸派,99
1958,環境党,諸派,99
2494,生活,諸派,99
1142,経済・教育・財政を考える会,諸派,99
2182,維新政党・新風,諸派,99
543,緑友会,諸派,99
1807,練馬・生活者ネットワーク,諸派,99
881,育児支援と防災緑地と平らな歩道の中野,諸派,99
2243,若者と少数派の党,諸派,99
1500,荒川オンブズマンの会,諸派,99
2181,葛飾・生活者ネットワーク,諸派,99
866,諸,諸派,99
2490,諸派,諸派,99
1460,議員報酬ゼロを実現する会,諸派,99
1174,豊島・生活者ネットワーク,諸派,99
1200,豊島清風会,諸派,99
1191,豊島行革110番,諸派,99
1097,都政を革新する会,諸派,99
1049,,諸派,99
