自治体コード,区名
131000,部
132000,市部
133000,町村部
133999,郡部
134000,島嶼部
134999,大島支庁
131016,千代田
131024,中央
131032,港
131041,新宿
131059,文京
131067,台東
131075,墨田
131083,江東
131091,品川
131105,目黒
131113,大田
131121,世田谷
131130,渋谷
131148,中野
131156,杉並
131164,豊島
131172,北
131181,荒川
131199,板橋
131202,練馬
131211,足立
131229,葛飾
131237,江戸川
132012,八王子市
132021,立川市
132039,武蔵野市
132047,三鷹市
132055,青梅市
132063,府中市
132071,昭島市
132080,調布市
132098,町田市
132101,小金井市
132110,小平市
132128,日野市
132136,東村山市
132144,国分寺市
132152,国立市
132187,福生市
132195,狛江市
132209,東大和市
132217,清瀬市
132225,東久留米市
132233,武蔵村山市
132241,多摩市
132250,稲城市
132276,羽村市
132284,あきる野市
132292,西東京市
133035,瑞穂町
133051,日の出町
133078,檜原村
133086,奥多摩町
133612,大島町
133621,利島村
133639,新島村
133647,神津島村
133817,三宅村
133825,御蔵島村
134015,八丈町
134023,青ヶ島村
134210,小笠原村
