自治体コード,自治体名,ふりがな,役所所在地
131016,千代田区,ちよだく,千代田区九段南1-2-1
131024,中央区,ちゅうおうく,中央区築地1-1-1
131032,港区,みなとく,港区芝公園1-5-25
131041,新宿区,しんじゅくく,新宿区歌舞伎町1-4-1
131059,文京区,ぶんきょうく,文京区春日1-16-21
131067,台東区,たいとうく,台東区東上野4-5-6
131075,墨田区,すみだく,墨田区吾妻橋1-23-20
131083,江東区,こうとうく,江東区東陽4-11-28
131091,品川区,しながわく,品川区広町2-1-36
131105,目黒区,めぐろく,目黒区上目黒2-19-15
131113,大田区,おおたく,大田区蒲田5-13-14
131121,世田谷区,せたがやく,世田谷区世田谷4-21-27
131130,渋谷区,しぶやく,渋谷区宇田川町1-1
131148,中野区,なかのく,中野区中野4-8-1
131156,杉並区,すぎなみく,杉並区阿佐谷南1-15-1
131164,豊島区,としまく,豊島区東池袋1-18-1
131172,北区,きたく,北区王子本町1-15-22
131181,荒川区,あらかわく,荒川区荒川2-2-3
131199,板橋区,いたばしく,板橋区板橋2-66-1
131202,練馬区,ねりまく,練馬区豊玉北6-12-1
131211,足立区,あだちく,足立区中央本町1-17-1
131229,葛飾区,かつしかく,葛飾区立石5-13-1
131237,江戸川区,えどがわく,江戸川区中央1-4-1
