日付,人数,都道府県名,カテゴリ
2020-01-16,1.0,全国,新規陽性者数
2020-01-17,0.0,全国,新規陽性者数
2020-01-18,0.0,全国,新規陽性者数
2020-01-19,0.0,全国,新規陽性者数
2020-01-20,0.0,全国,新規陽性者数
2020-01-21,0.0,全国,新規陽性者数
2020-01-22,0.0,全国,新規陽性者数
2020-01-23,0.0,全国,新規陽性者数
2020-01-24,1.0,全国,新規陽性者数
2020-01-25,1.0,全国,新規陽性者数
2020-01-26,1.0,全国,新規陽性者数
2020-01-27,0.0,全国,新規陽性者数
2020-01-28,3.0,全国,新規陽性者数
2020-01-29,1.0,全国,新規陽性者数
2020-01-30,4.0,全国,新規陽性者数
2020-01-31,0.0,全国,新規陽性者数
2020-02-01,0.0,全国,新規陽性者数
2020-02-02,0.0,全国,新規陽性者数
2020-02-03,0.0,全国,新規陽性者数
2020-02-04,1.0,全国,新規陽性者数
2020-02-05,2.0,全国,新規陽性者数
2020-02-06,0.0,全国,新規陽性者数
2020-02-07,0.0,全国,新規陽性者数
2020-02-08,0.0,全国,新規陽性者数
2020-02-09,0.0,全国,新規陽性者数
2020-02-10,0.0,全国,新規陽性者数
2020-02-11,1.0,全国,新規陽性者数
2020-02-12,1.0,全国,新規陽性者数
2020-02-13,3.0,全国,新規陽性者数
2020-02-14,5.0,全国,新規陽性者数
2020-02-15,4.0,全国,新規陽性者数
2020-02-16,1.0,全国,新規陽性者数
2020-02-17,6.0,全国,新規陽性者数
2020-02-18,8.0,全国,新規陽性者数
2020-02-19,9.0,全国,新規陽性者数
2020-02-20,8.0,全国,新規陽性者数
2020-02-21,13.0,全国,新規陽性者数
2020-02-22,23.0,全国,新規陽性者数
2020-02-23,10.0,全国,新規陽性者数
2020-02-24,16.0,全国,新規陽性者数
2020-02-25,8.0,全国,新規陽性者数
2020-02-26,22.0,全国,新規陽性者数
2020-02-27,24.0,全国,新規陽性者数
2020-02-28,19.0,全国,新規陽性者数
2020-02-29,9.0,全国,新規陽性者数
2020-03-01,14.0,全国,新規陽性者数
2020-03-02,14.0,全国,新規陽性者数
2020-03-03,22.0,全国,新規陽性者数
2020-03-04,34.0,全国,新規陽性者数
2020-03-05,33.0,全国,新規陽性者数
2020-03-06,54.0,全国,新規陽性者数
2020-03-07,44.0,全国,新規陽性者数
2020-03-08,35.0,全国,新規陽性者数
2020-03-09,27.0,全国,新規陽性者数
2020-03-10,60.0,全国,新規陽性者数
2020-03-11,52.0,全国,新規陽性者数
2020-03-12,55.0,全国,新規陽性者数
2020-03-13,34.0,全国,新規陽性者数
2020-03-14,62.0,全国,新規陽性者数
2020-03-15,29.0,全国,新規陽性者数
2020-03-16,16.0,全国,新規陽性者数
2020-03-17,45.0,全国,新規陽性者数
2020-03-18,39.0,全国,新規陽性者数
2020-03-19,39.0,全国,新規陽性者数
2020-03-20,52.0,全国,新規陽性者数
2020-03-21,35.0,全国,新規陽性者数
2020-03-22,45.0,全国,新規陽性者数
2020-03-23,39.0,全国,新規陽性者数
2020-03-24,89.0,全国,新規陽性者数
2020-03-25,93.0,全国,新規陽性者数
2020-03-26,93.0,全国,新規陽性者数
2020-03-27,96.0,全国,新規陽性者数
2020-03-28,222.0,全国,新規陽性者数
2020-03-29,151.0,全国,新規陽性者数
2020-03-30,80.0,全国,新規陽性者数
2020-03-31,227.0,全国,新規陽性者数
2020-04-01,257.0,全国,新規陽性者数
2020-04-02,281.0,全国,新規陽性者数
2020-04-03,353.0,全国,新規陽性者数
2020-04-04,365.0,全国,新規陽性者数
2020-04-05,346.0,全国,新規陽性者数
2020-04-06,248.0,全国,新規陽性者数
2020-04-07,365.0,全国,新規陽性者数
2020-04-08,522.0,全国,新規陽性者数
2020-04-09,574.0,全国,新規陽性者数
2020-04-10,640.0,全国,新規陽性者数
2020-04-11,644.0,全国,新規陽性者数
2020-04-12,486.0,全国,新規陽性者数
2020-04-13,387.0,全国,新規陽性者数
2020-04-14,446.0,全国,新規陽性者数
2020-04-15,552.0,全国,新規陽性者数
2020-04-16,558.0,全国,新規陽性者数
2020-04-17,572.0,全国,新規陽性者数
2020-04-18,577.0,全国,新規陽性者数
2020-04-19,377.0,全国,新規陽性者数
2020-04-20,346.0,全国,新規陽性者数
2020-04-21,389.0,全国,新規陽性者数
2020-04-22,446.0,全国,新規陽性者数
2020-04-23,439.0,全国,新規陽性者数
2020-04-24,444.0,全国,新規陽性者数
2020-04-25,371.0,全国,新規陽性者数
